n_estimators,learning_rate,max_depth,subsample,max_features,auc_roc,time_elapsed,cpu_time_spent
100.0,0.1,0.1,0.1,0.1,0.5,0 days 00:01:27.775094000,0 days 00:00:00.711099000
100.0,0.1,0.1,0.1,0.5,0.5,0 days 00:01:20.294352000,0 days 00:00:00.656000000
100.0,0.1,0.1,0.1,1.0,0.5,0 days 00:01:20.901814000,0 days 00:00:00.632384000
100.0,0.1,0.1,0.5,0.1,0.5,0 days 00:01:21.405487000,0 days 00:00:00.659107000
100.0,0.1,0.1,0.5,0.5,0.5,0 days 00:01:26.985022000,0 days 00:00:00.618780000
100.0,0.1,0.1,0.5,1.0,0.5,0 days 00:01:23.995574000,0 days 00:00:00.629886000
100.0,0.1,0.1,1.0,0.1,0.5,0 days 00:01:26.582784000,0 days 00:00:00.621235000
100.0,0.1,0.1,1.0,0.5,0.5,0 days 00:01:20.397399000,0 days 00:00:00.634230000
100.0,0.1,0.1,1.0,1.0,0.5,0 days 00:01:19.791121000,0 days 00:00:00.624398000
100.0,0.1,1.0,0.1,0.1,0.6886304892150283,0 days 00:01:29.026144000,0 days 00:00:00.660836000
100.0,0.1,1.0,0.1,0.5,0.6935495535002716,0 days 00:01:33.340456000,0 days 00:00:00.658667000
100.0,0.1,1.0,0.1,1.0,0.6936670459645582,0 days 00:01:33.212123000,0 days 00:00:00.644956000
100.0,0.1,1.0,0.5,0.1,0.68825009696905,0 days 00:01:29.497794000,0 days 00:00:00.643514000
100.0,0.1,1.0,0.5,0.5,0.6902888261936342,0 days 00:01:41.283397000,0 days 00:00:00.699209000
100.0,0.1,1.0,0.5,1.0,0.6913275286483502,0 days 00:01:48.204026000,0 days 00:00:00.717936000
100.0,0.1,1.0,1.0,0.1,0.686640667687163,0 days 00:01:47.631540000,0 days 00:00:00.800802000
100.0,0.1,1.0,1.0,0.5,0.6910312413767536,0 days 00:02:00.269167000,0 days 00:00:00.916488000
100.0,0.1,1.0,1.0,1.0,0.6916447724619237,0 days 00:01:55.644206000,0 days 00:00:00.769374000
100.0,0.1,10.0,0.1,0.1,0.6608440552856333,0 days 00:03:32.570966000,0 days 00:00:00.941300000
100.0,0.1,10.0,0.1,0.5,0.6546642684058168,0 days 00:11:49.966022000,0 days 00:00:02.136481000
100.0,0.1,10.0,0.1,1.0,0.6505961328215375,0 days 00:20:29.683358000,0 days 00:00:03.204512000
100.0,0.1,10.0,0.5,0.1,0.694682253462159,0 days 00:04:25.944139000,0 days 00:00:01.075365000
100.0,0.1,10.0,0.5,0.5,0.6914477246072602,0 days 00:18:27.889504000,0 days 00:00:03.017275000
100.0,0.1,10.0,0.5,1.0,0.6904490277925286,0 days 00:37:13.335095000,0 days 00:00:05.874825000
100.0,0.1,10.0,1.0,0.1,0.7014832290150312,0 days 00:05:08.772522000,0 days 00:00:01.126445000
100.0,0.1,10.0,1.0,0.5,0.7026289461205973,0 days 00:18:34.034689000,0 days 00:00:02.982331000
100.0,0.1,10.0,1.0,1.0,0.7030496539931995,0 days 00:35:12.972819000,0 days 00:00:05.448474000
100.0,0.5,0.1,0.1,0.1,0.5,0 days 00:01:22.950957000,0 days 00:00:00.582660000
100.0,0.5,0.1,0.1,0.5,0.5,0 days 00:01:25.365836000,0 days 00:00:00.597773000
100.0,0.5,0.1,0.1,1.0,0.5,0 days 00:01:24.568751000,0 days 00:00:00.599142000
100.0,0.5,0.1,0.5,0.1,0.5,0 days 00:01:19.672341000,0 days 00:00:00.599094000
100.0,0.5,0.1,0.5,0.5,0.5,0 days 00:01:25.188882000,0 days 00:00:00.609204000
100.0,0.5,0.1,0.5,1.0,0.5,0 days 00:01:26.575421000,0 days 00:00:00.596153000
100.0,0.5,0.1,1.0,0.1,0.5,0 days 00:01:21.859978000,0 days 00:00:00.585510000
100.0,0.5,0.1,1.0,0.5,0.5,0 days 00:01:23.858500000,0 days 00:00:00.591561000
100.0,0.5,0.1,1.0,1.0,0.5,0 days 00:01:18.855041000,0 days 00:00:00.603336000
100.0,0.5,1.0,0.1,0.1,0.6989986966464014,0 days 00:01:20.681649000,0 days 00:00:00.598385000
100.0,0.5,1.0,0.1,0.5,0.7030440670254597,0 days 00:01:22.684702000,0 days 00:00:00.624420000
