n_estimators,learning_rate,max_depth,subsample,max_features,auc_roc,time_elapsed,cpu_time_spent
60.0,0.1,0.1,0.1,0.1,0.5,0 days 00:01:02.444060000,0 days 00:00:00.574294000
60.0,0.1,0.1,0.1,0.5,0.5,0 days 00:01:20.600736000,0 days 00:00:00.785387000
60.0,0.1,0.1,0.1,1.0,0.5,0 days 00:00:56.236302000,0 days 00:00:00.591403000
60.0,0.1,0.1,0.5,0.1,0.5,0 days 00:01:07.394066000,0 days 00:00:00.603220000
60.0,0.1,0.1,0.5,0.5,0.5,0 days 00:01:26.955854000,0 days 00:00:00.876595000
60.0,0.1,0.1,0.5,1.0,0.5,0 days 00:01:18.826329000,0 days 00:00:00.789949000
60.0,0.1,0.1,1.0,0.1,0.5,0 days 00:00:57.758883000,0 days 00:00:00.604965000
60.0,0.1,0.1,1.0,0.5,0.5,0 days 00:00:56.953072000,0 days 00:00:00.618937000
60.0,0.1,0.1,1.0,1.0,0.5,0 days 00:00:58.909213000,0 days 00:00:00.576054000
60.0,0.1,1.0,0.1,0.1,0.6788440277430491,0 days 00:01:00.217212000,0 days 00:00:00.574781000
60.0,0.1,1.0,0.1,0.5,0.6846598303415353,0 days 00:01:02.353252000,0 days 00:00:00.608032000
60.0,0.1,1.0,0.1,1.0,0.6855542773219121,0 days 00:01:03.533279000,0 days 00:00:00.598931000
60.0,0.1,1.0,0.5,0.1,0.6720135636803628,0 days 00:01:00.921880000,0 days 00:00:00.587445000
60.0,0.1,1.0,0.5,0.5,0.6823299967145899,0 days 00:01:02.944929000,0 days 00:00:00.614944000
60.0,0.1,1.0,0.5,1.0,0.6826955170641693,0 days 00:01:11.476821000,0 days 00:00:00.628243000
60.0,0.1,1.0,1.0,0.1,0.6742843999750152,0 days 00:01:00.914837000,0 days 00:00:00.569904000
60.0,0.1,1.0,1.0,0.5,0.6809605057408271,0 days 00:01:06.482297000,0 days 00:00:00.637223000
60.0,0.1,1.0,1.0,1.0,0.6822644718834774,0 days 00:01:18.175289000,0 days 00:00:00.609357000
60.0,0.1,10.0,0.1,0.1,0.6655857933237057,0 days 00:02:21.022856000,0 days 00:00:00.774599000
60.0,0.1,10.0,0.1,0.5,0.6640831693780872,0 days 00:07:26.417454000,0 days 00:00:01.518313000
60.0,0.1,10.0,0.1,1.0,0.6618764681520451,0 days 00:14:03.600116000,0 days 00:00:02.376764000
60.0,0.1,10.0,0.5,0.1,0.6945604729660168,0 days 00:02:54.318339000,0 days 00:00:00.834926000
60.0,0.1,10.0,0.5,0.5,0.6933237497031284,0 days 00:11:08.089309000,0 days 00:00:01.990449000
60.0,0.1,10.0,0.5,1.0,0.6913322080669557,0 days 00:21:09.428439000,0 days 00:00:03.270638000
60.0,0.1,10.0,1.0,0.1,0.7015915208709054,0 days 00:03:29.694515000,0 days 00:00:00.962054000
60.0,0.1,10.0,1.0,0.5,0.7004312841561401,0 days 00:13:26.193242000,0 days 00:00:02.143619000
60.0,0.1,10.0,1.0,1.0,0.69923514353044,0 days 00:25:29.640575000,0 days 00:00:03.900548000
60.0,0.5,0.1,0.1,0.1,0.5,0 days 00:00:54.407081000,0 days 00:00:00.559533000
