n_estimators,learning_rate,max_depth,subsample,max_features,auc_roc,time_elapsed,cpu_time_spent
30.0,0.1,0.1,0.1,0.1,0.5,0 days 00:00:29.712513000,0 days 00:00:00.487991000
30.0,0.1,0.1,0.1,0.5,0.5,0 days 00:00:32.944555000,0 days 00:00:00.501307000
30.0,0.1,0.1,0.1,1.0,0.5,0 days 00:00:25.466083000,0 days 00:00:00.450294000
30.0,0.1,0.1,0.5,0.1,0.5,0 days 00:00:27.570586000,0 days 00:00:00.458632000
30.0,0.1,0.1,0.5,0.5,0.5,0 days 00:00:26.562378000,0 days 00:00:00.429379000
30.0,0.1,0.1,0.5,1.0,0.5,0 days 00:00:24.864392000,0 days 00:00:00.440052000
30.0,0.1,0.1,1.0,0.1,0.5,0 days 00:00:25.261926000,0 days 00:00:00.441157000
30.0,0.1,0.1,1.0,0.5,0.5,0 days 00:00:24.571367000,0 days 00:00:00.450256000
30.0,0.1,0.1,1.0,1.0,0.5,0 days 00:00:25.261844000,0 days 00:00:00.438169000
30.0,0.1,1.0,0.1,0.1,0.6604631617517378,0 days 00:00:26.381006000,0 days 00:00:00.456181000
30.0,0.1,1.0,0.1,0.5,0.6648002821365206,0 days 00:00:26.369724000,0 days 00:00:00.446022000
30.0,0.1,1.0,0.1,1.0,0.6711354734160316,0 days 00:00:28.982363000,0 days 00:00:00.446046000
30.0,0.1,1.0,0.5,0.1,0.6492749395238564,0 days 00:00:27.473537000,0 days 00:00:00.442019000
30.0,0.1,1.0,0.5,0.5,0.6651939634538551,0 days 00:00:29.896297000,0 days 00:00:00.464239000
30.0,0.1,1.0,0.5,1.0,0.6665799014155397,0 days 00:00:32.884979000,0 days 00:00:00.450117000
30.0,0.1,1.0,1.0,0.1,0.6527997014212833,0 days 00:00:28.178348000,0 days 00:00:00.441840000
30.0,0.1,1.0,1.0,0.5,0.663248838635101,0 days 00:00:31.393244000,0 days 00:00:00.462933000
30.0,0.1,1.0,1.0,1.0,0.6646292853256588,0 days 00:00:35.502853000,0 days 00:00:00.461972000
